PtUcSixZjnuWYSy8AU3iq3y971v5Gmarq6x,500000
PtkRWm7ihyvexLoDy3GYzrUsdjjWYNPhvve,750000
PtiVrgYM3oSznwZk1PRcFk27TnWxaxv5i35,1000000
PthbsPyWTgKGprvZBRgYgneL41ffgs3WBkC,1250000
PtezwuK8nhTfS8Jp1GVvpc2Yexu8GSd85dG,1500000
PtUi1GA1gKMtTroYhfNh5eQQjmeCAyJLxQ5,600000
PtaMBvEUMREJabYwjCKmtSpL2eY5gaANyMd,800000
PtZEpk2M6m1jcK4KXuEWqsuPMt66aubSFFU,1100000
Ptgsmm75g6b3bLBpjomGaz7qmCEWveeSRaR,1300000
PtcMA93hWE3dQdCpzWiL4m392nfjsir9TKm,1600000
PtUjeJYad2R22w2ziNZMKagUvfLhDQ9Lbmx,550000
PthkdotCdHj8PKa9iBtu4XSyPDfkCcogs3v,700000
Ptnj18RcPACpc3z7p449rTe7KQKefC9pNup,950000
PtoBnfmL6Ri7sL7bPdox3jQZYRBHLjLRYxh,1150000
PtYfbfcWzFtybd8DQkvARGVVJ1htonrwLfN,1400000
PtehztL7PgZ6NoJPpvoM19EdsA472LqXe89,650000
PtVcr2cTRYSsHTRWW9KUNmjJT97ihuP8hB5,850000
PtfvdG7HGRuvUXswAftvPq2WvgZ3orn3T7F,1050000
PtZqjeJ1WZsfXjTQM2HQ3FJHQ7i471oBnAB,1200000
PtddaTJaamN5iVXESxBUeg7K8Ui5xeCibbH,1550000
PteiVBQuSPzpjCdHLuw2VQkrj7Us1jwuNyA,500000
PtTsRRXu7zAfCftKw8myAmGiyuqQj6GKMa7,750000
PtiRHNXUTFztHuMejS6UKwbuPbiJs9prvS5,1000000
PtU1dHkVuJARgynyYcWmGxm3CMnGaPqW5xx,1250000
PtpVL4SxvUFLp3zEejS6Ud5tfNKqfYwKqw2,1500000
Ptj8iXnKvpVxgoxNaddZTmBoSKvbhkRrER2,600000
Pthe7d2djB9UUpyTa4wbE21R7Aj7JRFHJcs,800000
